,row,col,StemTag,frac
0,6,19,281378,0.010873112448739557
1,6,19,281302,0.02053005443733669
2,6,19,281374,0.09953902570731163
3,10,21,311357,0.09791274253886421
4,11,21,311357,0.09565327930795642
5,10,20,311491,0.039164144926296766
6,10,21,311491,0.03218766100332273
7,10,20,311361,0.019336839429418686
8,10,21,311361,0.016246802476354544
9,11,20,311361,0.015305758967488684
10,11,21,311361,0.012621429384629948
11,11,20,311367,0.016031816180362323
12,11,21,311367,0.014552737310634669
13,10,20,311357,0.03695230575599113
14,11,20,311357,0.013337344963312094
15,10,21,311490,0.04938304381323938
16,8,22,331632,0.09432159948633385
17,8,22,331779,0.009646533652303566
18,5,17,261167,0.009113452373228139
19,6,19,281383,0.008986131343440399
20,7,18,281321,0.012651547393431242
21,6,18,271332,0.07160448624907507
22,6,18,271447,0.00884106729874018
23,8,20,301386,0.09178491194529134
24,9,20,301386,0.0909321962330667
25,9,21,321681,0.012063792531728089
26,9,21,321580,0.038346064572011014
27,9,22,321580,0.0022939981772578826
28,9,21,311538,0.11985253338407831
29,6,19,281334,0.05160119540284312
30,7,19,281334,0.05087622498828632
31,6,19,291717,0.024272769622743173
32,6,19,291714,0.034488574764799274
33,7,5,081091,0.07406118914523688
34,8,5,081091,0.024212542097097157
35,8,21,321728,0.02211003584953062
36,9,21,321728,0.00033481373698960844
37,9,21,321644,0.024434613946104657
38,9,21,321552,0.04246306733922935
39,10,21,321552,0.01366015944279614
40,9,21,321713,0.015529794627750162
41,9,21,321646,0.025568730636650487
42,9,21,321676,0.06628950111547147
43,9,22,321676,0.01631044624266808
44,8,21,321651,0.010442206336880698
45,9,21,321651,0.008902546707146086
46,7,22,331752,0.053717339705271566
47,8,22,331752,0.052334886991877196
48,8,22,331643,0.040975108249280696
49,8,22,331642,0.03135196251315897
50,8,22,331649,0.037158949642676325
51,8,22,331626,0.02181657364132403
52,8,22,331700,0.08405027385006346
53,7,22,331708,0.041095861879811825
54,7,21,321827,0.09518229989284334
